trailID,name,countyID,stateID,mileage,condition_status,difficulty_level,email,website,latitude,longitude
1,Fort Dupont,11001,11,6.2,dry,green to blue,https://more-mtb.org/collections/trails/products/fort-dupont,,-76.9573,38.8803
2,Chesapeake Church,11001,11,,dry,,https://more-mtb.org/collections/trails/products/chesapeake-church-trails,operations@more-mtb.org,-77.0352,38.8895
3,495 Jumps,51029,51,,dry,green to black,https://more-mtb.org/collections/trails/products/495-jumps,495liaison@more-mtb.org,-77.2203,38.838
4,Brookfield Park,51029,51,,dry,green to blue,https://more-mtb.org/collections/trails/products/brookfield,brookfield@more-mtb.org,-77.2002,38.7866
5,Bull Run Occoquan Trail (BROT),51029,51,6.2,dry,blue to black,https://more-mtb.org/collections/trails/products/bull-run-occoquan-brot,brot@more-mtb.org,-77.3843,38.7438
6,Colts Neck,51029,51,2,dry,black,https://more-mtb.org/collections/trails/products/colts-neck,clopperlake@more-mtb.org,-77.3313,38.9507
7,Conway Robinson State Forest,51076,51,,wet,green to blue,https://more-mtb.org/collections/trails/products/conway-robinson,conway@more-mtb.org,-77.588,38.8035
8,Cross County Trail (CCT),51029,51,40.6,dry,green to blue,https://more-mtb.org/collections/trails/products/cross-county-trail-cct,cctcentral@more-mtb.org,-77.2554,38.6835
9,Fountainhead Regional Park,51029,51,12,dry,green to black,https://more-mtb.org/collections/trails/products/fountainhead-regional-park,fountainhead@more-mtb.org,-77.3304,38.7244
10,Fred Crabtree,51029,51,1.5,dry,green,https://more-mtb.org/collections/trails/products/fred-crabtree,crabtree@more-mtb.org,-77.3612,38.913
11,Freedom Center,51053,51,6.2,dry,green to blue,https://more-mtb.org/collections/trails/products/freedom-center,freedomcenter@more-mtb.org,-77.5504,39.2289
12,George Washington National Forest,51085,51,612,dry,green to black,https://more-mtb.org/collections/trails/products/gw-national-forest,gwnf@more-mtb.org,-78.3201,38.9345
13,James Long Park,51076,51,,dry,,https://more-mtb.org/collections/trails/products/james-long-park,,-77.6316,38.8513
14,Lake Accotink Park,51029,51,5,dry,green to blue,https://more-mtb.org/collections/trails/products/lake-accotink,lakeaccotink@more-mtb.org,-77.2174,38.7921
15,Lake Fairfax Park,51029,51,10,dry,green to blue,https://more-mtb.org/collections/trails/products/lake-fairfax-park,lakefairfax@more-mtb.org,-77.3161,38.9657
16,Laurel Hill,51029,51,10.7,dry,green,https://more-mtb.org/collections/trails/products/laurel-hill,laurel_hill@more-mtb.org,-77.2458,38.7011
17,Locust Shade Park,51076,51,4.5,dry,green,https://more-mtb.org/collections/trails/products/locust-shade,locustshade@more-mtb.org,-77.3527,38.5322
18,Meadowood Recreation Area,51029,51,8.8,dry,green to blue,https://more-mtb.org/collections/trails/products/meadowood-recreation-area,meadowood@more-mtb.org,-77.2091,38.6831
19,Mount Vernon Park,51029,51,4,dry,green,https://more-mtb.org/collections/trails/products/mount-vernon-park,mountvernon@more-mtb.org,-77.0644,38.7736
20,Prince William Forest Park,51076,51,,dry,,https://more-mtb.org/collections/trails/products/prince-william-forest-park,operations@more-mtb.org,-77.3481,38.5596
21,Riverbend Park,51029,51,6,dry,green,https://more-mtb.org/collections/trails/products/riverbend-park,riverbend@more-mtb.org,-77.2463,39.0193
22,Wakefield Park,51029,51,1.8,dry,green to blue,https://more-mtb.org/collections/trails/products/wakefield-park,wakefield@more-mtb.org,-77.2235,38.8179
23,Annapolis Waterworks,24003,24,5,dry,green to blue,https://more-mtb.org/collections/trails/products/waterworks-park,waterworks@more-mtb.org,-76.5564,38.9901
24,Bacon Ridge,24003,24,18,dry,blue,https://more-mtb.org/collections/trails/products/bacon-ridge,baconridge@more-mtb.org,-76.6083,39.0062
25,Banneker Park,24005,24,,dry,,https://more-mtb.org/collections/trails/products/banneker-park,banneker@more-mtb.org,-76.7934,39.2684
26,Belmont,24027,24,1.6,dry,blue,https://more-mtb.org/collections/trails/products/belmont,belmont@more-mtb.org,-76.7513,39.2177
27,Black Hill Regional Park,24031,24,16,dry,green to blue,https://more-mtb.org/collections/trails/products/black-hill-regional-park,blackhill@more-mtb.org,-77.2914,39.1952
28,Cabin John Park,24031,24,9,dry,green,https://more-mtb.org/collections/trails/products/cabin-john-park,cabinjohn@more-mtb.org,-77.1474,39.0336
